ID,Sens_0mM_r1,Sens_0mM_r2,Sens_0mM_r3,Sens_15mM_r1,Sens_15mM_r2,Sens_15mM_r3,Tol_0mM_r1,Tol_0mM_r2,Tol_0mM_r3,Tol_15mM_r1,Tol_15mM_r2,Tol_15mM_r3
ESR65386,2,3.9973,2.5695,3.0063,3.6072,2.9889,4.5145,5.3323,5.5246,5.0245,5.2353,5.0035
ESR65007,4.4069,3.3198,4.2845,2.5892,4.6127,3.5701,5.4405,6.6909,4.6966,5.2904,5.7683,6.1737
ESR38108,3.7904,2.5838,2,3.3295,4.025,4.3041,4.2801,5.6934,5.1321,5.0245,5.6115,5.5886
ESR66842,3.7904,4.1671,3.5538,3.5933,3.0167,2.9889,5.0506,6.1072,2.5429,3.069,5.3719,5.8111
ESR39204,6.9018,9.1763,6.9989,7.5201,8.3275,7.0445,9.5795,10.3022,8.395,7.3212,9.3756,9.6113
ESR58746,9.3994,8.7513,9.0775,8.889,8.7472,9.1327,6.8721,6.1072,6.5756,7.2397,7.0761,6.7588
ESR45857,3.1567,2.9982,3.9649,3.5933,4.4867,4.6816,3.652,2.5631,3.9036,7.281,4.0954,3.3243
ESR60862,5.5174,6.697,5.206,4.1797,4.6127,5.228,7.724,7.7926,7.3807,6.8304,6.4622,6.3257
ESR34702,7.922,9.1102,7.1638,6.9894,7.9154,6.7334,9.6734,10.2443,8.2291,7.4893,9.4738,9.6905
ESR52626,6.9311,7.8293,6.8854,6.919,7.6175,6.8853,9.5892,10.3911,7.8029,7.1533,9.2032,8.7182
ESR62717,3.1567,5.1667,4.546,3.8163,4.9358,2.5776,5.2587,6.8899,5.2054,4.1023,5.6657,5.8617
ESR60461,5.4378,7.3888,4.7672,5.819,7.3544,5.3019,8.2641,8.6136,6.3355,6.5551,7.4447,6.3257
ESR48790,7.6491,9.0571,7.5834,8.0347,8.9872,7.5781,10.3984,11.2027,8.395,8.0153,10.007,9.392
ESR55606,2.6913,3.3198,3.9649,3.5933,4.025,2.5776,5.8365,5.5828,5.6349,4.6982,5.9538,4.3251
ESR35973,5.0665,6.4228,4.6608,5.1811,5.889,5.1501,7.6147,8.5341,6.4606,5.2904,7.332,6.7318
ESR63590,3.5081,7.5043,6.4147,7.6988,7.2612,7.1681,7.1756,7.9458,7.7426,6.885,7.5636,7.8113
ESR40924,3.5081,4.6974,3.774,3.5933,3.0167,2.5776,4.974,6.6086,3.2453,2.6313,4.2452,5.2515
ESR47959,3.5081,6.3541,5.0461,5.2592,5.7312,5.0678,6.402,8.0219,5.2752,4.9237,7.0355,6.7588
ESR48347,3.1567,5.2447,3.2939,4.4697,3.6072,3.5701,5.9608,6.7173,4.2188,3.905,6.0384,5.2515
ESR40755,7.684,7.7513,7.7221,6.8948,6.1607,7.3181,7.77,5.1109,7.9804,8.1663,4.5049,6.1737
ESR52362,2.6913,4.9038,2.5695,3.3295,4.3486,2.9889,4.8073,5.7961,4.3539,3.4044,5.5552,5.8111
ESR38344,4.2292,5.6971,3.5538,4.1797,4.3486,3.9833,5.7004,6.7688,4.7949,3.6763,6.4622,6.6763
ESR33279,3.7904,4.319,3.774,5.9659,7.1198,5.228,3.4405,2.9671,5.2054,4.5707,5.0844,3.5876
ESR37698,7.6313,8.6969,7.5687,7.2976,8.6696,6.9326,9.7356,10.7248,7.9594,6.9884,9.6043,8.5662
ESR60114,6.0861,8.1257,6.0851,6.5356,7.5561,5.7867,8.7962,9.1039,7.8494,6.9376,8.8985,8.3615
ESR59256,5.0665,5.6971,4.8663,4.1797,4.9358,2.9889,6.6924,7.6896,5.4053,4.5707,5.8169,5.5272
ESR32699,4.8375,3.3198,5.4808,4.7111,4.3486,4.5664,2.5146,2.5631,3.2453,3.069,2,2
ESR61868,5.6645,7.105,5.6007,5.9186,6.7324,5.5032,7.5763,9.2054,6.3355,6.1268,8.2709,7.8619
ESR48391,5.8604,5.5816,5.3499,4.7111,4.025,3.9833,5.7004,6.2588,3.7157,2,5.3719,4.5883
ESR40596,2,4.582,3.774,4.4697,4.4867,4.8876,5.4964,5.8921,5.7859,5.5826,6.3997,5.7041
ESR61719,7.2668,7.5043,6.2035,5.712,7.2222,5.4392,8.7624,9.2558,6.5756,6.1268,8.2084,7.3077
ESR40092,8.3709,7.4394,7.2022,6.3695,6.9629,6.651,8.4594,10.0911,7.3648,7.2186,9.5549,9.0319
ESR40708,4.8375,4.8043,5.2798,4.4697,5.2777,4.6816,7.141,7.239,6.7572,7.1754,7.2457,7.1537
ESR43755,4.7077,4.1671,3.5538,3.0063,3.342,2,5.5501,6.396,4.2188,3.905,5.2353,4.4627
ESR36342,6.5318,2.9982,5.6007,3.8163,2,4.6816,4,3.541,3.2453,3.6763,3.739,4.3251
ESR55790,12.3014,11.8142,12.0805,12.1171,11.8811,12.2161,9.7501,9.4217,9.9894,10.2714,9.7112,9.8774
ESR56538,3.1567,4.582,4.2845,4.4697,2.5961,4.4412,2.8931,2.9671,2.5429,6.7443,4.2452,3.5876
ESR51416,5.8604,7.0626,5.3499,5.6554,6.0312,5.0678,7.724,9.1628,7.2994,5.7091,6.662,7.3077
ESR63009,2,3.3198,2,2,2,2.9889,5.1233,4.1185,4.4774,2,4.3809,4.003
ESR34781,10.8672,9.4762,10.8111,9.7938,9.3994,10.8435,8.4166,7.0851,8.2639,8.8271,8.3392,8.8866
ESR36958,8.4743,9.5663,8.413,8.8326,9.355,7.9088,11.428,10.6852,10.7935,9.8992,11.1645,10.6279
ESR64347,3.1567,4.9968,3.774,3.0063,4.3486,2.9889,5.652,5.982,4.2188,2.6313,5.5552,5.2515
ESR48258,4.8375,5.6971,4.4211,3.5933,5.3519,4.3041,6.5145,7.6352,5.4053,4.8154,6.7648,6.4957
ESR63168,7.0696,8.0945,6.54,6.6559,7.2023,6.4706,8.65,10.0423,7.4426,6.5884,8.6525,9.1125
ESR38648,3.1567,3.8048,2.9767,5.819,5.4224,5.5032,4.5145,2.9671,4.9733,5.8254,2.9525,5.1735
ESR36097,4.2292,5.1667,3.9649,3.8163,5.0291,3.7915,7.0318,7.2927,5.6349,4.9237,6.1182,5.4631
ESR49201,7.7678,9.1205,7.3465,7.5201,8.8339,7.4212,9.9077,10.6201,8.2466,7.2397,9.94,9.3659
ESR47297,3.1567,6.8039,5.206,6.3338,6.6169,6.5636,6.6438,7.7029,6.6821,5.7091,7.2808,6.7852
ESR57900,3.5081,4.1671,4.1336,3.5933,3.0167,2.9889,2.5146,6.5213,2.9364,3.4044,4.725,5.5272
ESR45821,4.5651,2,3.9649,4.1797,2.5961,4.9805,3.1926,4.1185,3.2453,5.8802,3.2647,2
